School,Feeder,Lat,Long,8/9/2021,8/10/2021,8/11/2021,8/12/2021,8/13/2021,8/14/2021,8/15/2021,8/16/2021,8/17/2021,8/18/2021,8/19/2021,8/20/2021,8/21/2021,8/22/2021,8/23/2021,8/24/2021,8/25/2021,8/26/2021,8/27/2021,8/28/2021,8/29/2021,8/30/2021,8/31/2021,9/1/2021,9/2/2021,9/3/2021,9/4/2021,9/5/2021
Mountain Ridge Middle School,MVHS,39.52226678,-104.9626064,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mountain Vista High School,MVHS,39.52268677,-104.9655995,1,0,0,1,2,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
Northeast Elementary,PHS,39.45814669,-104.7572225,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Northridge Elementary,MVHS,39.55172617,-104.9828441,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0
Pine Grove Elementary,CHS,39.52748664,-104.8072426,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Pine Lane Elementary,CHS,39.54173621,-104.7654457,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
Pine Lane Intermediate,CHS,39.54296902,-104.7655142,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Pioneer Elementary,LHS,39.51576599,-104.7404205,3,0,0,0,0,0,0,1,1,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0
Ponderosa High School,PHS,39.43581986,-104.7545871,2,1,0,0,0,0,0,1,0,2,1,2,0,0,1,0,0,0,1,0,0,1,0,4,0,0,0,0
Prairie Crossing Elementary,CHS,39.51036138,-104.7988006,0,0,0,0,0,0,0,1,3,2,1,1,0,0,2,0,0,0,1,0,0,4,1,0,1,1,0,0
Ranch View Middle School,TRHS,39.53281976,-105.0083521,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Redstone Elementary,RCHS,39.53456195,-104.9194831,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Renaissance Expeditionary Magnet,Altenative,39.40272453,-104.8577184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Rock Canyon High School,RCHS,39.52074653,-104.9201674,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,1,0,0,2,1,0,1,1,0,0
Rock Ridge Elementary,DCHS,39.37230345,-104.8144102,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0
Rocky Heights Middle School,RCHS,39.51539264,-104.9209125,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Roxborough Intermediate,TRHS,39.46873392,-105.0710819,0,0,0,0,2,0,0,0,3,0,0,0,0,0,6,1,1,4,0,0,0,1,1,2,0,1,0,0
Roxborough Primary,TRHS,39.4775085,-105.0756085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
Saddle Ranch Elementary,TRHS,39.53208715,-104.9965444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sage Canyon Elementary,DCHS,39.38916111,-104.8227453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Sagewood Middle School,PHS,39.43181483,-104.7399061,2,0,0,0,1,0,0,3,3,2,0,1,0,0,1,1,0,2,0,0,0,2,1,4,2,2,0,0
Sand Creek Elementary,MVHS,39.5601445,-104.966366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sedalia Elementary,CVHS,39.43709081,-104.9694034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0
Sierra Middle School,CHS,39.546611,-104.7628157,0,0,0,2,0,0,0,0,1,1,0,1,0,0,3,0,2,1,1,0,0,1,1,0,0,3,0,0
South Ridge Elementary,DCHS,39.36979939,-104.8444376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,3,0,0
Stone Mountain Elementary,TRHS,39.5238811,-105.0023475,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0
Summit View Elementary,MVHS,39.53153251,-104.9618003,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Thunderridge High School,TRHS,39.53505682,-105.0109599,2,1,0,0,0,0,0,0,1,2,3,2,0,0,3,1,1,0,1,0,0,0,1,0,2,1,0,0
Timber Trail Elementary,RCHS,39.4732999,-104.8986981,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Trailblazer Elementary,TRHS,39.53947199,-105.0211428,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
Wildcat Mountain Elementary,RCHS,39.52830805,-104.91261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
